labid,Sat_w,pHw,pHCaCl,pHKCl,CE_susp,CE_sat,C_Ox,0CaCO3,CEC,Ca,Mg,Na,K,Total_bases,Sat,ESP,co3,clay,silt,sand18,sand30,sand60,sand140,sand200,sand260
64232,42,7.81,6.9,6.84,0.41,0.68,0.09,0,27.5,17.8,4.3,0.7,2.1,24.9,90.5,2.5,,29.6,56,0,0.1,0.1,0.5,4.4,9.3
64233,50,7.31,6.4,5.55,0.26,0.52,0.14,0,24.7,16.7,4,0.5,1.8,23,93.1,2,,26.5,59.4,0,0.1,0.1,0.6,3.9,9.4
64234,60.3,8.66,7.78,7.52,0.71,1.21,0.27,1,31,,,3,2.8,,,9.7,2.8,38.5,52.3,0,0.1,0.1,0.3,1.6,4.3
64239,46.7,9.61,8.62,8.51,0.52,0.97,0.17,1,28.2,,,7.1,3.4,,,25.2,1.2,35.6,55.5,0,0,0.3,0.3,2.7,4.4
64240,48.3,9.48,8.1,8.04,0.29,0.62,0.4,3,21.7,,,4.2,2.1,,,19.4,29.6,23.4,39.8,0,0.3,0.9,1.9,1.7,2.4
64245,36.7,6.85,5.75,5.61,0.11,0.43,0.07,0,19.3,11.2,3.2,0.2,1.7,16.3,84.5,1,,19.2,56.4,0,0,0.1,1.6,6.9,15.8
64247,43.3,5.6,4.6,4.46,0.31,0.7,1.18,0,19.2,9.8,2.8,0.4,1.1,14.1,73.4,2.1,,23.1,66.4,0,0,0.1,0.6,5.3,4.5
64248,40,6.85,5.76,5.35,0.12,0.36,0.36,0,29,18.2,4,0.5,1.3,24,82.8,1.7,,26.5,56.1,0,0,0.2,1.5,6.5,9.2
64249,46.7,7.12,5.95,5.24,0.23,0.47,0.15,0,26.3,14.2,3.5,0.5,1.6,19.8,75.3,1.9,,23.4,59.6,0,0,0.2,1.2,5.2,10.4
64251,42,9.37,7.9,7.07,0.18,0.44,0.19,3,29.1,,,4.7,2.1,,,16.2,15.4,26.5,49.1,0,0,0,0.3,3.1,5.6
64254,46.7,9.16,8.05,7.34,0.6,0.97,0.51,1,31.1,,,5.7,3.2,,,18.3,1.5,28,57.9,0,0,0,0.3,4.8,7.5
64259,46.7,5.95,4.92,4.41,0.11,0.23,1.3,0,22.9,11.5,2.6,0.5,1.5,16.1,70.2,2.2,,22.5,65,0,0,0.1,0.7,3.7,8
64260,44,6.3,5.06,5,0.1,0.21,1.13,0,19.3,11.8,2.1,0.2,1,15.1,78,0.8,,23,62.5,0,0.1,0.1,0.5,5.6,8.2
64264,40.7,5.8,5.14,5,0.1,0.27,1.5,0,21.9,11.4,2.8,0.1,1.1,15.4,70.5,0.6,,23.2,55.8,0,0,0.2,2,6.9,11.9
64266,40,9.28,8.29,8,0.28,0.72,0.57,0,21.3,12.2,3.2,3.6,1.5,20.5,96.2,16.9,,24,56.4,0,0,0.2,0.8,7.1,11.5
64272,43,6.02,5.43,5.03,0.6,1.02,0.47,0,27.8,14.8,3.8,0.5,2.7,21.8,78.4,1.8,,29.2,62.1,0,0,0,0.6,2.5,5.6
64273,43.3,5.66,4.7,4.51,0.23,0.53,1.29,0,20.8,11.1,2,0.3,1.3,14.7,70.7,1.4,,20.1,63,0,0,0,0.8,6.3,9.8
64276,46.7,5.78,4.98,4.86,0.28,0.5,1.3,0,22.2,12,2.2,0.4,1.7,16.3,73.4,1.8,,25.3,58.2,0,0,0,0.2,6.3,10
64277,63.8,5.71,5.41,5.27,0.65,1.25,2.05,0,24.3,12,2.1,0.7,2.4,17.2,70.8,2.9,,26.5,61.2,0,0,0.3,0.9,3.5,7.6
64278,51.7,8.56,7.55,7.29,0.48,1.19,0.2,2,19,,,0.6,1.1,,,3.2,1.5,19.5,46.5,0,0,0.1,3.4,12.4,16.6
64279,51,9.35,8.38,7.75,1.51,2.47,0.75,1,29,,,4,2.9,,,13.8,1.7,24.4,55.9,0,0.2,0.3,0.5,6,11
64281,41,8.46,7.42,7.31,0.19,0.51,0.07,1,30.1,,,1.2,1.1,,,4,0.8,26.5,58.2,0.1,0.6,0.6,1,3.2,9
64284,50.3,7.67,6.69,5.89,0.37,0.58,0.57,0,22.1,12.9,3.3,0.7,1.5,18.4,83.3,3.2,,24.3,65.2,0.1,0.2,0.2,1.4,1.6,7
64285,38.3,5.83,5.01,4.88,0.09,0.28,0.99,0,24.8,11.7,1.9,0.3,2.1,16,64.5,1.2,,23,57.2,0,0,0.1,0.4,7.8,11.5
64287,48.3,6.81,5.8,5.72,0.28,0.61,0.47,0,21.8,14.1,2.7,0.3,1.1,18.2,83.5,1.4,,25.4,62.3,0,0,0,0.2,3.8,8.3
64289,45,8.33,7.2,7.01,0.36,0.93,0.41,0,23.4,14.6,3.3,0.9,2.4,21.2,90.6,3.8,,25,60.5,0,0,0.2,0.6,4.1,9.6
64292,44,7.58,6.71,6.32,0.18,0.47,0.07,0,27.2,13,3.2,2.6,3,21.8,80.1,9.6,,27.1,60.3,0,0,0.2,0.8,2.9,8.7
64294,48.3,7.07,5.71,5.05,0.1,0.39,0.37,0,29.3,16.5,4.2,1,1.7,23.4,79.9,3.4,,30.5,57.2,0,0.1,0.3,0.6,5,6.3
64298,36.7,7.34,6.48,6.03,0.12,0.39,0.1,0,17.8,9.2,1.7,0.8,1.5,13.2,74.2,4.5,,22.1,61.9,0,0,0.2,1,4.8,10
64301,50,7.56,6.62,6.21,0.19,0.41,0.29,0,20.1,11.4,2.8,0.7,1.1,16,79.6,3.5,,26.5,66.2,0,0.1,0.2,0.2,2.4,4.4
64304,38.3,9.1,7.5,6.8,0.32,0.59,0.12,0,15.6,6.5,1.3,3.1,2.7,13.6,87.2,19.9,,18.1,51.1,0,0,0.1,3.6,10.6,16.5
